Action, games, score, coin, xp, level, staples, commons, specials
Bought staple, 6, 5040, 29, 1540, 5, 1, 0, 0
Bought staple, 19, 6960, 5, 5550, 8, 2, 0, 0
Bought staple, 30, 8400, 124, 9740, 11, 3, 0, 0
Bought staple, 45, 8880, 37, 16120, 12, 4, 0, 0
Bought staple, 60, 9360, 113, 22880, 13, 5, 0, 0
Bought staple, 73, 9840, 166, 29160, 15, 6, 0, 0
Bought special, 110, 11760, 288, 49380, 19, 6, 0, 1
Bought staple, 120, 12720, 177, 55520, 20, 7, 0, 1
Bought common, 157, 12720, 33, 78830, 21, 7, 1, 1
Bought staple, 168, 12720, 1, 85760, 22, 8, 1, 1
Bought staple, 180, 12720, 7, 93320, 22, 9, 1, 1
Bought staple, 192, 12720, 38, 100880, 23, 10, 1, 1
Bought common, 230, 12720, 82, 124820, 24, 10, 2, 1
Bought special, 268, 12720, 1, 148760, 25, 10, 2, 2
Bought special, 306, 12720, 45, 172700, 26, 10, 2, 3
Bought special, 343, 12720, 26, 196010, 27, 10, 2, 4
Dupe staple, 355, 12720, 307, 203570, 28, 10, 2, 4
Bought common, 390, 12720, 162, 225620, 29, 10, 3, 4
Bought staple, 402, 12720, 43, 233180, 29, 11, 3, 4
Bought special, 440, 12720, 87, 257120, 30, 11, 3, 5
Bought common, 476, 12720, 30, 279800, 32, 11, 4, 5
Bought common, 513, 12720, 11, 303110, 33, 11, 5, 5
Bought common, 551, 12720, 55, 327050, 34, 11, 6, 5
Bought staple, 565, 12720, 62, 335870, 34, 12, 6, 5
Bought common, 602, 12720, 193, 359180, 36, 12, 7, 5
Dupe staple, 613, 12720, 261, 366110, 36, 12, 7, 5
Dupe staple, 623, 12720, 266, 372410, 36, 12, 7, 5
Bought staple, 633, 12720, 21, 378710, 36, 13, 7, 5
Bought staple, 645, 12720, 52, 386270, 37, 14, 7, 5
Dupe common, 682, 12720, 783, 409580, 38, 14, 7, 5
Bought common, 710, 12720, 72, 427220, 39, 14, 8, 5
Bought staple, 723, 12720, 16, 435410, 39, 15, 8, 5
Bought special, 761, 12720, 210, 459350, 41, 15, 8, 6
Dupe staple, 772, 12720, 278, 466280, 41, 15, 8, 6
Dupe staple, 782, 12720, 283, 472580, 41, 15, 8, 6
Bought special, 817, 12720, 13, 494630, 42, 15, 8, 7
Bought staple, 829, 12720, 44, 502190, 43, 16, 8, 7
Bought special, 866, 12720, 25, 525500, 44, 16, 8, 8
Bought special, 903, 12720, 6, 548810, 45, 16, 8, 9
Bought common, 941, 12720, 50, 572750, 46, 16, 9, 9
Dupe special, 980, 12720, 907, 597320, 47, 16, 9, 9
Bought special, 1007, 12720, 8, 614330, 48, 16, 9, 10
Bought special, 1045, 12720, 52, 638270, 49, 16, 9, 11
Bought common, 1080, 12720, 57, 660320, 51, 16, 10, 11
Dupe staple, 1093, 12720, 251, 668510, 51, 16, 10, 11
Dupe staple, 1103, 12720, 256, 674810, 51, 16, 10, 11
Bought staple, 1111, 12720, 35, 679850, 52, 17, 10, 11
Bought special, 1150, 12720, 142, 704420, 53, 17, 10, 12
Dupe special, 1188, 12720, 811, 728360, 54, 17, 10, 12
Bought special, 1215, 12720, 37, 745370, 55, 17, 10, 13
Dupe staple, 1229, 12720, 294, 754190, 55, 17, 10, 13
Bought common, 1262, 12720, 23, 774980, 56, 17, 11, 13
Bought common, 1300, 12720, 67, 798920, 57, 17, 12, 13
Bought common, 1336, 12720, 10, 821600, 59, 17, 13, 13
Dupe staple, 1350, 12720, 392, 830420, 59, 17, 13, 13
Dupe staple, 1360, 12720, 397, 836720, 59, 17, 13, 13
Bought common, 1393, 12720, 1, 857510, 60, 17, 14, 13
Bought special, 1430, 12720, 132, 880820, 62, 17, 14, 14
Dupe special, 1468, 12720, 801, 904760, 63, 17, 14, 14
Bought common, 1495, 12720, 27, 921770, 64, 17, 15, 14
Bought common, 1532, 12720, 8, 945080, 65, 17, 16, 14
Bought common, 1570, 12720, 52, 969020, 66, 17, 17, 14
Bought special, 1609, 12720, 34, 993590, 67, 17, 17, 15
Dupe staple, 1620, 12720, 377, 1000520, 68, 17, 17, 15
Bought special, 1654, 12720, 44, 1021940, 69, 17, 17, 16
Dupe staple, 1668, 12720, 301, 1030760, 69, 17, 17, 16
Bought staple, 1678, 12720, 56, 1037060, 69, 18, 17, 16
Dupe special, 1713, 12720, 811, 1059110, 71, 18, 17, 16
Dupe special, 1742, 12720, 763, 1077380, 71, 18, 17, 16
Bought special, 1770, 12720, 52, 1095020, 72, 18, 17, 17
Bought special, 1809, 12720, 184, 1119590, 74, 18, 17, 18
Dupe staple, 1820, 12720, 377, 1126520, 74, 18, 17, 18
Bought common, 1854, 12720, 44, 1147940, 75, 18, 18, 18
Dupe staple, 1868, 12720, 301, 1156760, 75, 18, 18, 18
Bought special, 1901, 12720, 30, 1177550, 76, 18, 18, 19
Dupe special, 1938, 12720, 786, 1200860, 78, 18, 18, 19
Bought special, 1967, 12720, 138, 1219130, 79, 18, 18, 20
Dupe special, 2003, 12720, 806, 1241810, 80, 18, 18, 20
Bought common, 2031, 12720, 95, 1259450, 81, 18, 19, 20
Dupe special, 2069, 12720, 764, 1283390, 82, 18, 19, 20
Bought special, 2097, 12720, 53, 1301030, 83, 18, 19, 21
Dupe staple, 2110, 12720, 372, 1309220, 83, 18, 19, 21
Bought common, 2144, 12720, 39, 1330640, 84, 18, 20, 21
Bought special, 2181, 12720, 20, 1353950, 85, 18, 20, 22
Dupe special, 2220, 12720, 877, 1378520, 86, 18, 20, 22
Dupe common, 2248, 12720, 791, 1396160, 87, 18, 20, 22
Dupe staple, 2250, 12720, 292, 1397420, 87, 18, 20, 22
Bought common, 2285, 12720, 172, 1419470, 89, 18, 21, 22
Bought common, 2320, 12720, 27, 1441520, 90, 18, 22, 22
Bought common, 2359, 12720, 9, 1466090, 91, 18, 23, 22
Dupe staple, 2371, 12720, 265, 1473650, 91, 18, 23, 22
Dupe common, 2407, 12720, 808, 1496330, 92, 18, 23, 22
Dupe staple, 2410, 12720, 372, 1498220, 92, 18, 23, 22
Bought common, 2444, 12720, 189, 1519640, 94, 18, 24, 22
Dupe special, 2480, 12720, 857, 1542320, 95, 18, 24, 22
Bought special, 2508, 12720, 21, 1559960, 96, 18, 24, 23
Dupe common, 2545, 12720, 752, 1583270, 97, 18, 24, 23
Bought common, 2573, 12720, 41, 1600910, 98, 18, 25, 23
Dupe special, 2610, 12720, 772, 1624220, 99, 18, 25, 23
Bought special, 2640, 12720, 187, 1643120, 100, 18, 25, 24
Dupe common, 2677, 12720, 793, 1666430, 101, 18, 25, 24
Dupe common, 2704, 12720, 769, 1683440, 102, 18, 25, 24
Dupe common, 2732, 12720, 808, 1701080, 103, 18, 25, 24
Dupe special, 2761, 12720, 910, 1719350, 104, 18, 25, 24
Bought special, 2790, 12720, 112, 1737620, 104, 18, 25, 25
Dupe special, 2826, 12720, 805, 1760300, 106, 18, 25, 25
Bought special, 2855, 12720, 7, 1778570, 106, 18, 25, 26
Dupe common, 2890, 12720, 762, 1800620, 108, 18, 25, 26
Bought special, 2920, 12720, 177, 1819520, 109, 18, 25, 27
Bought staple, 2932, 12720, 58, 1827080, 109, 19, 25, 27
Dupe special, 2970, 12720, 852, 1851020, 110, 19, 25, 27
Dupe special, 2998, 12720, 766, 1868660, 111, 19, 25, 27
Dupe special, 3026, 12720, 805, 1886300, 112, 19, 25, 27
Bought special, 3053, 12720, 31, 1903310, 113, 19, 25, 28
Dupe common, 3090, 12720, 762, 1926620, 114, 19, 25, 28
Dupe common, 3120, 12720, 927, 1945520, 115, 19, 25, 28
Dupe common, 3147, 12720, 778, 1962530, 116, 19, 25, 28
Dupe special, 3174, 12720, 754, 1979540, 117, 19, 25, 28
Dupe special, 3204, 12720, 769, 1998440, 117, 19, 25, 28
Bought common, 3232, 12720, 58, 2016080, 118, 19, 26, 28
Dupe special, 3269, 12720, 814, 2039390, 120, 19, 26, 28
Dupe special, 3298, 12720, 766, 2057660, 120, 19, 26, 28
Bought special, 3326, 12720, 55, 2075300, 121, 19, 26, 29
Dupe special, 3363, 12720, 786, 2098610, 122, 19, 26, 29
Dupe common, 3390, 12720, 762, 2115620, 123, 19, 26, 29
Dupe common, 3420, 12720, 927, 2134520, 124, 19, 26, 29
Bought common, 3447, 12720, 28, 2151530, 125, 19, 27, 29
Dupe special, 3484, 12720, 759, 2174840, 126, 19, 27, 29
Bought common, 3512, 12720, 48, 2192480, 127, 19, 28, 29
Dupe common, 3550, 12720, 842, 2216420, 128, 19, 28, 29
Dupe special, 3578, 12720, 756, 2234060, 129, 19, 28, 29
Dupe common, 3606, 12720, 795, 2251700, 130, 19, 28, 29
Dupe special, 3633, 12720, 771, 2268710, 131, 19, 28, 29
Dupe common, 3661, 12720, 810, 2286350, 132, 19, 28, 29
Dupe special, 3690, 12720, 912, 2304620, 133, 19, 28, 29
Dupe special, 3717, 12720, 763, 2321630, 134, 19, 28, 29
Bought common, 3745, 12720, 52, 2339270, 135, 19, 29, 29
Dupe special, 3782, 12720, 783, 2362580, 136, 19, 29, 29
Dupe common, 3810, 12720, 822, 2380220, 137, 19, 29, 29
Dupe common, 3840, 12720, 987, 2399120, 138, 19, 29, 29
Dupe special, 3868, 12720, 751, 2416760, 138, 19, 29, 29
Dupe special, 3896, 12720, 790, 2434400, 139, 19, 29, 29
Dupe special, 3923, 12720, 766, 2451410, 140, 19, 29, 29
Dupe common, 3951, 12720, 805, 2469050, 141, 19, 29, 29
Dupe common, 3980, 12720, 907, 2487320, 142, 19, 29, 29
Dupe common, 4007, 12720, 758, 2504330, 143, 19, 29, 29
Dupe special, 4035, 12720, 797, 2521970, 144, 19, 29, 29
Bought special, 4063, 12720, 86, 2539610, 145, 19, 29, 30

Bought staple, 6, 5040, 29, 1540, 5, 1, 0, 0
Bought staple, 19, 6960, 5, 5550, 8, 2, 0, 0
Bought staple, 30, 8400, 124, 9740, 11, 3, 0, 0
Bought special, 73, 9840, 166, 29160, 15, 3, 0, 1
Dupe staple, 84, 10800, 255, 34800, 16, 3, 0, 1
Dupe staple, 93, 11280, 268, 39680, 17, 3, 0, 1
Bought staple, 102, 11760, 49, 44740, 18, 4, 0, 1
Bought staple, 114, 12240, 32, 51820, 19, 5, 0, 1
Bought staple, 126, 12720, 205, 59300, 21, 6, 0, 1
Bought staple, 137, 12720, 23, 66230, 21, 7, 0, 1
Bought staple, 150, 12720, 92, 74420, 21, 8, 0, 1
Bought common, 188, 12720, 11, 98360, 22, 8, 1, 1
Bought staple, 200, 12720, 167, 105920, 23, 9, 1, 1
Bought special, 237, 12720, 23, 129230, 24, 9, 1, 2
Bought staple, 250, 12720, 92, 137420, 24, 10, 1, 2
Bought staple, 261, 12720, 60, 144350, 25, 11, 1, 2
Dupe staple, 274, 12720, 254, 152540, 25, 11, 1, 2
Bought staple, 284, 12720, 9, 158840, 25, 12, 1, 2
Bought staple, 296, 12720, 40, 166400, 26, 13, 1, 2
Bought common, 333, 12720, 21, 189710, 27, 13, 2, 2
Bought common, 370, 12720, 2, 213020, 28, 13, 3, 2
Bought staple, 382, 12720, 33, 220580, 29, 14, 3, 2
Bought special, 420, 12720, 77, 244520, 30, 14, 3, 3
Bought common, 459, 12720, 59, 269090, 31, 14, 4, 3
Bought special, 496, 12720, 40, 292400, 32, 14, 4, 4
Bought special, 533, 12720, 21, 315710, 33, 14, 4, 5
Bought common, 570, 12720, 2, 339020, 34, 14, 5, 5
Bought special, 607, 12720, 8, 362330, 36, 14, 5, 6
Dupe special, 645, 12720, 802, 386270, 37, 14, 5, 6
Bought common, 672, 12720, 28, 403280, 38, 14, 6, 6
Bought special, 710, 12720, 72, 427220, 39, 14, 6, 7
Bought common, 749, 12720, 54, 451790, 40, 14, 7, 7
Bought common, 786, 12720, 35, 475100, 41, 14, 8, 7
Dupe staple, 797, 12720, 253, 482030, 42, 14, 8, 7
Bought special, 831, 12720, 45, 503450, 43, 14, 8, 8
Dupe special, 870, 12720, 902, 528020, 44, 14, 8, 8
Dupe common, 897, 12720, 753, 545030, 45, 14, 8, 8
Bought staple, 900, 12720, 67, 546920, 45, 15, 8, 8
Bought special, 939, 12720, 49, 571490, 46, 15, 8, 9
Bought special, 976, 12720, 30, 594800, 47, 15, 8, 10
Bought special, 1013, 12720, 11, 618110, 48, 15, 8, 11
Dupe staple, 1025, 12720, 292, 625670, 49, 15, 8, 11
Bought staple, 1035, 12720, 47, 631970, 49, 16, 8, 11
Bought special, 1072, 12720, 28, 655280, 50, 16, 8, 12
Bought staple, 1084, 12720, 59, 662840, 51, 17, 8, 12
Dupe staple, 1097, 12720, 253, 671030, 51, 17, 8, 12
Bought common, 1131, 12720, 45, 692450, 52, 17, 9, 12
Dupe staple, 1142, 12720, 263, 699380, 53, 17, 9, 12
Bought common, 1178, 12720, 56, 722060, 54, 17, 10, 12
Dupe staple, 1190, 12720, 312, 729620, 54, 17, 10, 12
Bought common, 1225, 12720, 42, 751670, 55, 17, 11, 12
Bought common, 1262, 12720, 23, 774980, 56, 17, 12, 12
Dupe staple, 1274, 12720, 304, 782540, 57, 17, 12, 12
Bought common, 1309, 12720, 34, 804590, 58, 17, 13, 12
Bought special, 1346, 12720, 15, 827900, 59, 17, 13, 13
Bought common, 1384, 12720, 59, 851840, 60, 17, 14, 13
Bought common, 1421, 12720, 40, 875150, 61, 17, 15, 13
Bought common, 1460, 12720, 297, 899720, 63, 17, 16, 13
Dupe staple, 1470, 12720, 302, 906020, 63, 17, 16, 13
Bought common, 1505, 12720, 32, 928070, 64, 17, 17, 13
Bought staple, 1519, 12720, 39, 936890, 64, 18, 17, 13
Bought special, 1555, 12720, 107, 959570, 66, 18, 17, 14
Bought common, 1591, 12720, 25, 982250, 67, 18, 18, 14
Dupe common, 1630, 12720, 882, 1006820, 68, 18, 18, 14
Bought common, 1658, 12720, 46, 1024460, 69, 18, 19, 14
Dupe special, 1695, 12720, 777, 1047770, 70, 18, 19, 14
Dupe staple, 1699, 12720, 279, 1050290, 70, 18, 19, 14
Bought common, 1732, 12720, 8, 1071080, 71, 18, 20, 14
Bought common, 1770, 12720, 52, 1095020, 72, 18, 21, 14
Bought special, 1809, 12720, 184, 1119590, 74, 18, 21, 15
Bought special, 1844, 12720, 39, 1141640, 75, 18, 21, 16
Dupe staple, 1858, 12720, 296, 1150460, 75, 18, 21, 16
Bought special, 1891, 12720, 25, 1171250, 76, 18, 21, 17
Dupe special, 1930, 12720, 882, 1195820, 77, 18, 21, 17
Bought staple, 1932, 12720, 8, 1197080, 77, 19, 21, 17
Dupe special, 1969, 12720, 764, 1220390, 79, 19, 21, 17
Bought special, 1999, 12720, 179, 1239290, 80, 19, 21, 18
Dupe special, 2034, 12720, 784, 1261340, 81, 19, 21, 18
Bought common, 2063, 12720, 136, 1279610, 82, 19, 22, 18
Dupe special, 2100, 12720, 867, 1302920, 83, 19, 22, 18
Bought special, 2128, 12720, 31, 1320560, 84, 19, 22, 19
Dupe common, 2165, 12720, 762, 1343870, 85, 19, 22, 19
Bought special, 2193, 12720, 51, 1361510, 86, 19, 22, 20
Dupe common, 2230, 12720, 782, 1384820, 87, 19, 22, 20
Dupe special, 2259, 12720, 759, 1403090, 88, 19, 22, 20
Bought common, 2287, 12720, 48, 1420730, 89, 19, 23, 20
Bought common, 2324, 12720, 29, 1444040, 90, 19, 24, 20
Dupe common, 2361, 12720, 760, 1467350, 91, 19, 24, 20
Bought special, 2390, 12720, 112, 1485620, 92, 19, 24, 21
Bought special, 2428, 12720, 31, 1509560, 93, 19, 24, 22
Bought common, 2465, 12720, 12, 1532870, 94, 19, 25, 22
Dupe common, 2503, 12720, 806, 1556810, 95, 19, 25, 22
Bought special, 2530, 12720, 32, 1573820, 96, 19, 25, 23
Bought common, 2569, 12720, 14, 1598390, 97, 19, 26, 23
Dupe common, 2604, 12720, 769, 1620440, 99, 19, 26, 23
Bought common, 2634, 12720, 184, 1639340, 100, 19, 27, 23
Dupe special, 2670, 12720, 852, 1662020, 101, 19, 27, 23
Dupe special, 2698, 12720, 766, 1679660, 102, 19, 27, 23
Bought special, 2728, 12720, 31, 1698560, 102, 19, 27, 24
Dupe common, 2763, 12720, 786, 1720610, 104, 19, 27, 24
Dupe common, 2793, 12720, 951, 1739510, 105, 19, 27, 24
Bought special, 2820, 12720, 27, 1756520, 105, 19, 27, 25
Dupe special, 2857, 12720, 783, 1779830, 107, 19, 27, 25
Bought special, 2887, 12720, 48, 1798730, 107, 19, 27, 26
Dupe special, 2922, 12720, 803, 1820780, 109, 19, 27, 26
Bought special, 2951, 12720, 5, 1839050, 109, 19, 27, 27
Bought special, 2988, 12720, 11, 1862360, 111, 19, 27, 28
Dupe special, 3026, 12720, 805, 1886300, 112, 19, 27, 28
Dupe special, 3053, 12720, 781, 1903310, 113, 19, 27, 28
Bought special, 3080, 12720, 7, 1920320, 114, 19, 27, 29
Dupe common, 3120, 12720, 927, 1945520, 115, 19, 27, 29
Dupe special, 3147, 12720, 778, 1962530, 116, 19, 27, 29
Bought common, 3174, 12720, 4, 1979540, 117, 19, 28, 29
Dupe common, 3212, 12720, 798, 2003480, 118, 19, 28, 29
Bought common, 3240, 12720, 87, 2021120, 119, 19, 29, 29
Dupe common, 3278, 12720, 756, 2045060, 120, 19, 29, 29
Dupe special, 3306, 12720, 795, 2062700, 121, 19, 29, 29
Dupe common, 3333, 12720, 771, 2079710, 122, 19, 29, 29
Dupe special, 3363, 12720, 786, 2098610, 122, 19, 29, 29
Dupe common, 3390, 12720, 762, 2115620, 123, 19, 29, 29
Dupe special, 3420, 12720, 927, 2134520, 124, 19, 29, 29
Bought special, 3447, 12720, 28, 2151530, 125, 19, 29, 30

Bought staple, 6, 5040, 29, 1540, 5, 1, 0, 0
Dupe staple, 19, 6960, 255, 5550, 8, 1, 0, 0
Bought staple, 28, 7920, 18, 8930, 10, 2, 0, 0
Bought common, 70, 9840, 119, 27690, 14, 2, 1, 0
Bought staple, 83, 10320, 201, 34260, 16, 3, 1, 0
Bought special, 118, 12240, 176, 54260, 20, 3, 1, 1
Bought staple, 127, 12720, 18, 59930, 21, 4, 1, 1
Dupe staple, 140, 12720, 337, 68120, 21, 4, 1, 1
Bought staple, 150, 12720, 92, 74420, 21, 5, 1, 1
Bought staple, 161, 12720, 60, 81350, 22, 6, 1, 1
Bought staple, 174, 12720, 4, 89540, 22, 7, 1, 1
Bought special, 212, 12720, 48, 113480, 23, 7, 1, 2
Bought staple, 223, 12720, 16, 120410, 24, 8, 1, 2
Bought staple, 237, 12720, 23, 129230, 24, 9, 1, 2
Bought staple, 250, 12720, 92, 137420, 24, 10, 1, 2
Dupe staple, 261, 12720, 310, 144350, 25, 10, 1, 2
Bought common, 296, 12720, 40, 166400, 26, 10, 2, 2
Bought common, 333, 12720, 21, 189710, 27, 10, 3, 2
Bought special, 370, 12720, 2, 213020, 28, 10, 3, 3
Bought staple, 382, 12720, 33, 220580, 29, 11, 3, 3
Bought common, 420, 12720, 77, 244520, 30, 11, 4, 3
Bought common, 459, 12720, 59, 269090, 31, 11, 5, 3
Bought common, 496, 12720, 40, 292400, 32, 11, 6, 3
Bought special, 533, 12720, 21, 315710, 33, 11, 6, 4
Bought common, 570, 12720, 2, 339020, 34, 11, 7, 4
Bought staple, 582, 12720, 33, 346580, 35, 12, 7, 4
Dupe common, 620, 12720, 827, 370520, 36, 12, 7, 4
Bought common, 649, 12720, 54, 388790, 37, 12, 8, 4
Bought special, 686, 12720, 35, 412100, 38, 12, 8, 5
Bought special, 723, 12720, 16, 435410, 39, 12, 8, 6
Bought special, 761, 12720, 210, 459350, 41, 12, 8, 7
Bought common, 797, 12720, 3, 482030, 42, 12, 9, 7
Dupe staple, 810, 12720, 322, 490220, 42, 12, 9, 7
Bought staple, 820, 12720, 77, 496520, 42, 13, 9, 7
Bought staple, 831, 12720, 45, 503450, 43, 14, 9, 7
Bought common, 870, 12720, 152, 528020, 44, 14, 10, 7
Bought common, 907, 12720, 8, 551330, 45, 14, 11, 7
Dupe special, 945, 12720, 802, 575270, 46, 14, 11, 7
Dupe staple, 949, 12720, 304, 577790, 46, 14, 11, 7
Dupe common, 982, 12720, 783, 598580, 47, 14, 11, 7
Bought staple, 984, 12720, 59, 599840, 48, 15, 11, 7
Dupe staple, 997, 12720, 253, 608030, 48, 15, 11, 7
Bought special, 1031, 12720, 45, 629450, 49, 15, 11, 8
Bought special, 1070, 12720, 152, 654020, 50, 15, 11, 9
Bought common, 1107, 12720, 8, 677330, 51, 15, 12, 9
Bought common, 1142, 12720, 13, 699380, 53, 15, 13, 9
Bought staple, 1156, 12720, 20, 708200, 53, 16, 13, 9
Bought special, 1193, 12720, 1, 731510, 54, 16, 13, 10
Bought common, 1231, 12720, 45, 755450, 55, 16, 14, 10
Bought common, 1269, 12720, 114, 779390, 57, 16, 15, 10
Bought special, 1305, 12720, 32, 802070, 58, 16, 15, 11
Bought special, 1342, 12720, 13, 825380, 59, 16, 15, 12
Dupe staple, 1356, 12720, 270, 834200, 59, 16, 15, 12
Dupe staple, 1364, 12720, 299, 839240, 60, 16, 15, 12
Bought common, 1399, 12720, 29, 861290, 61, 16, 16, 12
Dupe staple, 1411, 12720, 285, 868850, 61, 16, 16, 12
Bought special, 1446, 12720, 15, 890900, 62, 16, 16, 13
Bought staple, 1460, 12720, 297, 899720, 63, 17, 16, 13
Bought special, 1495, 12720, 27, 921770, 64, 17, 16, 14
Bought common, 1532, 12720, 8, 945080, 65, 17, 17, 14
Dupe staple, 1546, 12720, 265, 953900, 65, 17, 17, 14
Dupe staple, 1555, 12720, 357, 959570, 66, 17, 17, 14
Bought special, 1589, 12720, 24, 980990, 67, 17, 17, 15
Dupe staple, 1601, 12720, 280, 988550, 67, 17, 17, 15
Bought common, 1636, 12720, 10, 1010600, 68, 17, 18, 15
Dupe staple, 1650, 12720, 542, 1019420, 69, 17, 18, 15
Bought special, 1682, 12720, 83, 1039580, 70, 17, 18, 16
Dupe staple, 1695, 12720, 277, 1047770, 70, 17, 18, 16
Dupe common, 1730, 12720, 882, 1069820, 71, 17, 18, 16
Bought common, 1758, 12720, 46, 1087460, 72, 17, 19, 16
Bought special, 1795, 12720, 27, 1110770, 73, 17, 19, 17
Dupe staple, 1809, 12720, 434, 1119590, 74, 17, 19, 17
Bought special, 1840, 12720, 37, 1139120, 75, 17, 19, 18
Bought special, 1879, 12720, 19, 1163690, 76, 17, 19, 19
Bought common, 1917, 12720, 63, 1187630, 77, 17, 20, 19
Dupe special, 1954, 12720, 794, 1210940, 78, 17, 20, 19
Dupe staple, 1958, 12720, 296, 1213460, 78, 17, 20, 19
Bought staple, 1967, 12720, 138, 1219130, 79, 18, 20, 19
Bought common, 2003, 12720, 56, 1241810, 80, 18, 21, 19
Dupe common, 2040, 12720, 787, 1265120, 81, 18, 21, 19
Dupe special, 2069, 12720, 764, 1283390, 82, 18, 21, 19
